SMILES,Flavor_Description,Classification
COC(=O)C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)N2CC(=C(C2=O)Cl)Cl,sweet,1.0
CC(CC(=O)O)(CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=C(C=C(C=C2)[C@@H]3CC(=O)C4=C(C=C(C=C4O3)O)O)OC)O)O)O)O,sweet,1.0
CCCCCCCCOC[C@@H]1[C@H]([C@@H]([C@](O1)(CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,sweet,1.0
CCCCCCCCOC[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,sweet,1.0
C(CO)COC[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCCO)OCCCO)OCCCO)OCCCO)OCCCO)OCCCO)OCCCO,sweet,1.0
C(CO)COCCOC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OCCOCCCO)OCCOCCCO)OCCOCCCO)OCCOCCCO,sweet,1.0
CCCCCCCCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]2[C@@H]([C@H]([C@@H](O2)[C@@H](CO)O)O)O)O)O)O,sweet,1.0
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@H]3[C@@H]([C@H](O[C@H]([C@@H]3O)O[C@H]4CC[C@]5([C@H]([C@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(CC8)(C)C)C(=O)O)C)C)C)C(=O)O)O)CO)O)O)O)O,sweet,1.0
CC1=CC(=O)C2=C(C=C(C=C2O1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COC(=O)/C=C/C4=CC(=C(C=C4)O[C@H]5[C@@H]([C@@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O)O,sweet,1.0
CC1(O[C@H]2[C@H](O[C@@H]([C@H]([C@H]2O1)O)OC)COC(C)(C)OC)C,sweet,1.0
CC1(O[C@H]2[C@H](O[C@H]([C@H]([C@H]2O1)O)OC)CO)C,sweet,1.0
CC1(O[C@H]2[C@H](O[C@@H]([C@H]([C@H]2O1)O)OC)CO)C,sweet,1.0
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)C)(C)C(=O)O,sweet,1.0
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)C)(C)C(=O)OC,sweet,1.0
CC(=O)OC[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)OC)C)C)C)C)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,sweet,1.0
CCCCOC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)O)O,sweet,1.0
CCCCOC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O)C)C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)O,sweet,1.0
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)OC)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O,sweet,1.0
CCCCOC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]4([C@@H]3CC=C5[C@]4(CC[C@@]6([C@H]5CC(CC6)(C)C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)O,sweet,1.0
CCCC[C@@H](C(=O)OC)N(C)C(=O)[C@H](CC1=CC=CC=C1)N,sweet,1.0
CCOC(=O)C[C@@H](C(=O)OCC)NC(=O)[C@H](CC1=CC=CC=C1)N,sweet,1.0
C[C@@H](C(=O)NCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,sweet,1.0
C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)N,sweet,1.0
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@]4(C(C3(C)C)CC[C@@]5(C4CC=C6[C@]5(CC(=O)[C@@]7(C6CC(CC7)(C)C)O)C)C)C)C(=O)O)O)O)O)O)O,sweet,1.0
COC(=O)CNC(=O)C1(CCCCC1)N[C@@H](CC2=CC=CC=C2)C(=O)O,sweet,1.0
COC(=O)CNC(=O)[C@H](CC1=CC=CC=C1)NC2(CCCCC2)C(=O)O,sweet,1.0
COC(=O)CNC(=O)C1(CCCCC1)N[C@@H](CC2=CC=CC=C2)C(=O)OC,sweet,1.0
CCOC(=O)CNC(=O)C1(CCCCC1)N[C@@H](CC2=CC=CC=C2)C(=O)O,sweet,1.0
COC(=O)CNC(=O)[C@H](CC1=CC=CC=C1)NC2(CCCCC2)C(=O)OC,sweet,1.0
C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(C[C@@H]5O)(C)C)CO)O)C)C)(C)C(=O)OC)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@H](CO7)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)O,sweet,1.0
C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)C)C)(C)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)O)O)O)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)O,sweet,1.0
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)O)O)O)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)O,sweet,1.0
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O)O)O)C)C)C)C(=O)O)O)O)O)O)O,sweet,1.0
C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)O)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O)O,sweet,1.0
C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)O)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)OC)O)O)O,sweet,1.0
C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC(=O)C5[C@H]4CC(CC5)(C)C)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O)O,sweet,1.0
COC1=CC(=CC(=C1O)OC)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O,sweet,1.0
CC(C)C[C@@H](C(=O)N[C@H](CC1=CC=CC=C1)C(=O)OC)NC(=O)[C@H](C(C)C)N,sweet,1.0
CC(C)[C@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)N,sweet,1.0
CC(C)C[C@H](C(=O)N[C@H](CC1=CC=CC=C1)C(=O)OC)NC(=O)[C@@H](C(C)C)N,sweet,1.0
CC(C)[C@@H](C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)OC)N,sweet,1.0
CC[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)N,sweet,1.0
CC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)N,sweet,1.0
CC[C@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)N,sweet,1.0
CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)NC(=O)[C@@H](C(C)C)NC,sweet,1.0
CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)NC(=O)[C@@H](C(C)C)N,sweet,1.0
C1C2([C@H]([C@@H]([C@H](O2)O)O)O)OCC3(O1)[C@H]([C@@H]([C@H](O3)O)O)O,sweet,1.0
[2H][C@@]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)OC,sweet,1.0
[2H][C@]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)OC,sweet,1.0
C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](OC(C[C@@H]3O)O)C)C)O)O,sweet,1.0
CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(O)O)O)O)O,sweet,1.0
CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)C(O)O)O)O)O,sweet,1.0
CO[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)C(O)O)O)O)O,sweet,1.0
C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](OC(C[C@@H]2O)O)C)O)O,sweet,1.0
COC1=C(C=C2C(=C1O)C(=O)C(=CO2)C3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,sweet,1.0
C[C@H]1[C@@H]([C@H]([C@H](C(O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2C3=C(C4=C(C=C3O)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O,sweet,1.0
C.C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O)O)O)O,sweet,1.0
C1[C@H]([C@@]([C@H](O1)O)(CO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O,sweet,1.0
C1[C@H]([C@@H]([C@](O1)(CO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)=O)O)O)N,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)=O)O)O)N,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)=O)O)OP(=O)(O)O)N,sweet,1.0
[O-]P(=O)=O.[K+],odorless,0.0
COC1=C(C=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,sweet,1.0
CSC/C(=C/C1=CC=CC=C1)/C=O,green; weedy; broccoli; beany,0.0
O.O.O.OP(=O)([O-])[O-].[Mg+2],odorless,0.0
CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+],bitter,0.0
C/C=C/C(=O)OC(C)(C)CC1=CC=CC=C1,spicy; herbal; fruity; floral,1.0
C1=NC(=C2C(=N1)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)([O-])OP(=O)(O)[O-])O)O)N.[Na+].[Na+],sweet,1.0
C(C1[C@H](C(C(C(O1)O)O)O)O[C@H]2C(C(C(C(O2)CO)O)O)O)O,sweet,1.0
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O.O,sweet,1.0
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,sweet,1.0
[14CH2](C1C(C(C(C(O1)O)O)O)O)O,sweet,1.0
C(C(C(C(C([14CH2]O)O)O)O)O)O,sweet,1.0
C(C1C(C(C([14CH](O1)O)O)O)O)O,sweet,1.0
[14CH3]OC1C(C(OC(C1O)O)CO)O,sweet,1.0
C1[C@@H]([C@H](OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)([O-])OP(=O)(O)[O-])O.[Na+].[Na+],sweet,1.0
C([C@@H]1[C@H]([C@@H]([13C@H]([C@H](O1)O)O)O)O)O,sweet,1.0
[13CH2](C1[C@H]([C@H](C([C@@H](O1)O)O)O)O)O,sweet,1.0
[2H]C1([C@H]([C@@H]([C@H](OC1O)CO)O)O)O,sweet,1.0
[14CH2]([14CH]([14CH]([14CH]([14CH]([14CH2]O)O)O)O)O)O,sweet,1.0
C1[C@H]([C@H]([C@@H](C(O1)([13CH2]O)O)O)O)O,sweet,1.0
[13CH2]([13C@@H]1[13C@H]([13C@@H]([13C@H]([13C@H](O1)O[13C@@H]2[13C@H](O[13C@@H]([13C@@H]([13C@H]2O)O)O)[13CH2]O)O)O)O)O,sweet,1.0
C1[C@H]([C@H]([C@@H]([13CH](O1)O)O)O)O,sweet,1.0
C(C1[C@H]([C@@H]([13C@H]([13C@H](O1)O)O)O)O)O,sweet,1.0
[13CH2](C1[C@H]([C@@H]([C@H]([13C@H](O1)O)O)O)O)O,sweet,1.0
C(C(C(C(C([13CH2]O)O)O)O)O)O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([13C@H](C(O1)O)O)O)O)O,sweet,1.0
C(COC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OCCO)OCCO)OCCO)OCCO)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,sweet,1.0
C(COC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OCCO)OCCO)OCCO)OCCO)O,sweet,1.0
[2H]C1([C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O)[2H],sweet,1.0
C1[C@H]([C@H]([C@@H]([13C](O1)(CO)O)O)O)O,sweet,1.0
[13CH2]1[13C@H]([13C@H]([13C@@H]([13C](O1)(CO)O)O)O)O,sweet,1.0
[12CH2]([12C@@H]1[12C@H]([12C@@H]([12C@H]([12CH](O1)O)O)O)O)O,sweet,1.0
[2H][C@]1([C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O,sweet,1.0
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C(C5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O.N,sweet,1.0
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C(C5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,sweet,1.0
[2H][C@@]1([C@]([C@@](OC([C@]1([2H])O[2H])([2H])O[2H])([2H])C([2H])([2H])O[2H])([2H])O[2H])O[2H],sweet,1.0
C1=CC=C(C=C1)C2=C3C(=CC=C2)C(=O)NS3(=O)=O,sweet,1.0
C1=CC2=C(C(=C1)I)S(=O)(=O)NC2=O,sweet,1.0
C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=C(C=C3C(=C2)C(=O)C=C(O3)C4=CC(=C(C=C4)O)OC)O)O)O)O,sweet,1.0
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](OC([C@@H]2O)O)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)O,sweet,1.0
[2H][C@@]1([C@]([C@@](O[C@]([C@]1([2H])O)([2H])O)([2H])C([2H])([2H])O)([2H])O)O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[13C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,sweet,1.0
[13CH2]([13C@@H]1[13C@H]([13C@@H]([13C@H]([13C@H](O1)O[13C@]2([13C@H]([13C@@H]([13CH](O2)[13CH2]O)O)O)[13CH2]O)O)O)O)O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@]([C@H]2O)(CO)O)CO)O)O)O)O,sweet,1.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]([C@@H]([C@H](CO)O)O)C(CO)O)O)O)O)O,sweet,1.0
C([C@H]([C@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O)O,sweet,1.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@@]2(CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O)O.O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O.O,sweet,1.0
C[S+](C)CC[C@@H](C(=O)O)N.[Cl-],green; potato; malt; tomato; sulfur,0.0
[13CH2]1[13C@@H]([13C@H](O[13C@H]1[15N]2[13CH]=[15N][13C]3=[13C]([15N]=[13CH][15N]=[13C]32)[15NH2])[13CH2]OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O.[Na+],sweet,1.0
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O.O.O.O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC2[C@@H]([C@H](C([C@H]([C@H]2O)O)O)O)O)O)O)O)O.O.O,sweet,1.0
CC1C(C(C(C(O1)O)O)O)O.O,sweet,1.0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O.O,sweet,1.0
C([C@@H]1[C@@H](C([C@](O1)(CO)O)O)O)O[C@@H]2C([C@@H]([C@@H](C(O2)CO)O)O)O,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O)N.O,sweet,1.0
C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O.O,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)O)O)N.[Na],sweet,1.0
[Li].C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=S)(O)O)O)O)N,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N.O,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)([O-])OP(=O)(O)[O-])O)O)N.O.[Na+].[Na+],sweet,1.0
[Li+].[Li+].[Li+].[Li+].C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)(NP(=O)([O-])[O-])[O-])O)O)N.O,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N.[Na],sweet,1.0
[Li].C1=NC(=C2C(=N1)N(C(=N2)NCCCCCCN)C3C(C(C(O3)COP(=O)(O)O)O)O)N,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N.[Na],sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)OP(=O)(O)O)N.[Na],sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.N,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)([O-])[O-])O)O)N.[K+].[K+],sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.[Mg],sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N.[Na],sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N.N,sweet,1.0
C1=NC(=C2C(=N1)N(C(=N2)Br)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.[Na],sweet,1.0
C1CCC(CC1)NS(=O)(=O)[O-].[Ca],sweet,1.0
C1C(OC(C1O)N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O.[Na],sweet,1.0
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)OP(=O)(O)O.[Na],sweet,1.0
C1C(C(C(O[14CH]1O)CO)O)O,sweet,1.0
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O.[Na],sweet,1.0
C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O)O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H]([C@H](OC([C@@H]2O)O)CO)O)O)O)O)O,sweet,1.0
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,sweet,1.0
C(C1[C@@H](C(C(C(O1)O)O)O)O)O,sweet,1.0
CNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O.[Na],sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O.O,sweet,1.0
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(CP(=O)(O)O)O)O)O)N.[Na],sweet,1.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(CP(=O)(O)O)O)O)O)N.[Na],sweet,1.0
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O.O,sweet,1.0
[14CH2](C1C(C(C(C(O1)O[C@]2(C(C(C(O2)[14CH2]O)O)O)[14CH2]O)O)O)O)O,sweet,1.0
C1[C@@H]([C@@H]([C@H](C(O1)(CO)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,sweet,1.0
