SMILES,Odor,All_Matched_Categories,Major_Category
C[C@@H]1CC[C@]2(O1)[C@@H]([C@H](C[C@@H](O2)CCO)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1CC[C@@]2(O1)[C@@H]([C@H](C[C@@H](O2)CCO)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1CC[C@]2(O1)[C@@H]([C@H](C[C@@H](O2)CCO)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1CC[C@]2(O1)[C@H]([C@@H](C[C@H](O2)CCO)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,bitter,Bitter,Bitter
C1=CC=C(C=C1)C/C(=N/NC2=CC=CC=C2)/N=NC3=CC=CC=C3,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
[B-][P@](=O)(OC[C@@H]1[C@H](C[C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)OP(=O)(O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(=O)NC1=CC=C(C=C1)/C=N/NC(=S)N,bitter,Bitter,Bitter
C=C[C@@H](C/C(=N\OS(=O)(=O)O)/SC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,bitter,Bitter,Bitter
COCC1=CCC(=CC1)/C=N/O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCO[P@]1(=O)OC[C@H]2[C@@H](O1)[C@H]([C@H](O2)N3C=NC4=C(N=CN=C43)N)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC/C(=N/OC1=NS(=O)(=O)C2=CC=CC=C21)/C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C2C(=C1)C(=CN2)C/C(=N\OS(=O)(=O)O)/SC3C(C(C(C(O3)CO)O)O)O,bitter,Bitter,Bitter
CC1=CC=C(C=C1)N=N/C(=N\NC2=CC=CC=C2)/C3=CC=CC=C3,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C(C=C1)N/N=C(/C2=CC=C(C=C2)F)\N=NC3=CC=CC=C3,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C(C=C1)N/N=C(/C2=CC=C(C=C2)N)\N=NC3=CC=CC=C3,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1C2[C@H]([C@@H](O1)[C@@H](C(O2)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1C2=C(C=C(C=C2)C)OC1=O,coconut; fruity,Fruity,Fruity
C([C@@H]1[C@@H]([C@@H]([C@H]([13C@@H](O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]([C@H]([C@H]([C@H](C(=O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OCC(C(CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)OC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@]2([C@@H]([C@H]([C@@H](O2)CO)O)O)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC[C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)NC(=O)CC2CCCCC2,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC(C)(C)CN[C@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1C2C(C(C(O2)N3C4=NC=NC(=C4N=C3NCCO)N)O)OP(=O)(O1)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.[Fe+2],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCC/C=C\CCC(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1C(OC2=C(C1=O)C=CC(=C2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCCCCCCN=C(N)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)CCCCCCN,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OCC(COCC(COC2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)OC3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)CCCC1=CC=CC=C1)NC(=O)[C@H](CC(=O)OC)NC(=O)C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@]12CCC[C@@](C1CC[C@]34C2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)(C)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1(CCCC2C1CC[C@]34C2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)CC(=O)O[C@@H]6[C@H]([C@@H]([C@H]([C@@H](O6)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)(C)CCN[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC.CC(C)(C)CCN[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC.[Ca+2],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)(C)CCN[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](CC1C3=CC(=O)C4[C@]5(CC[C@@H](C(C5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O.[NH4+],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](CC1C3=CC(=O)C4[C@]5(CC[C@@H](C(C5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@@H](CO[C@@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6(C5CC=C7[C@]6(CC[C@@]8(C7CC(C[C@H]8O)(C)C)C)C)C)C)C(=O)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](CO[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@@]5(C6CC=C7C8CC([C@@H](C[C@@]8(CC[C@]7([C@@]6(C[C@@](C5C4)(C)CO)C)C)C)O)(C)C)C)C(=O)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@]12CCC[C@@]([C@H]1CCC34[C@H]2CCC(C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@@H](C(C1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O)OC8[C@@H]([C@H]([C@@H](CO8)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(C[C@H]8O)(C)C)C)C)C)C)C(=O)O)O)O)C(=O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
B(CCOC[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O)(O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@H]([C@@H]([C@H]([13CH](O1)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([13C@@H]([C@H]([C@@H](O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1C([C@@H]([C@H](C(O1)(CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@@H]([C@](O1)(CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCOCC1C(C(C(C(O1)OC)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC(CO)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@H]([C@@H]([C@@H]([C@@](O1)(CO)O)O)O)O.[OH-].[OH-].[Ca+2],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)NCC(=O)OC)NC(=O)CC1=CC=CC=C1,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@H]([C@@H]([C@H]([C@@H](O1)OC(CO)[C@@H]([C@@H](CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCCCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCC(=O)OC)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C(C=C1)C[C@@H](C(=O)NCCCC(=O)O)NCC(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@](C2O)(CO)O)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCOCC1C(C(C(C(O1)OC(C)C)OC)OCCC)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@](O2)(CCl)O)O)O)CCl)O)Cl)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(C(=C3C(=C2)OC(=CC3=O)C4=CC=C(C=C4)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=NC(=C2C(=N1)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)CO[32P](=O)(O)O[32P](=O)(O)O[32P](=O)(O)O)O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCCCCCCOC[C@@]1([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)(C)CCN[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC.CC(C)(C)CCN[C@@H](CC(=O)[O-])C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC.[Mg+2],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@]34CCC5[C@@]6(CCC[C@@](C6CC[C@]5(C3)CC4=C)(C)C(=O)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)CO)O)O[C@@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(CC8=O)(C)C)C)C)C)C)C(=O)OC)O)O)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@]12CCC[C@@](C1CCC34C2CC[C@](C3)(C(=C)C4)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)OC6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@@H]8[C@H]([C@@H]([C@H]([C@@H](O8)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(CCC(CO)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
[13CH2]([C@@H]1[C@H]([C@@H]([C@H]([13CH](O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
[C@H]1([C@@H]([C@@H](OC([C@H]1O)O)C(F)(F)F)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)OC[C@@]3(O1)[C@H]([C@@H]([C@H](O3)CO)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@@H]([C@@H]([C@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@H]([C@H]([C@@H]([C@](O1)(COC2([C@H]([C@@H]([C@@H](CO2)O)O)O)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CO)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC2[C@@H]([C@H](C([C@@H]([C@@H]2O)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@H]1[C@@H]([C@H]([C@@H](C(O1)O[C@@H](CO)[C@@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(C)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)NC(=O)CC2CCCC2,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)Cl)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)C[C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O[C@H]2[C@@H]([C@H](O[C@@]2(CO)O[C@@H]3[C@@H]([C@H](C([C@H](O3)CO)O)O)O)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.[Na+],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)OCCO)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OCCO)OCCO,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)OC[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)OC6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@@H]([C@@]5([C@H]4CC(CC5)(C)C)CO)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](C[C@H]1C3=CC[C@H]4[C@]([C@@]3(CC2)C)(CC[C@@H]5C4(CC[C@@H](C5(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C=O)C)(C)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3OC4CC[C@]5(C([C@@]4(C)CO)CC[C@@]6(C5CC=C7[C@]6(CC[C@@]8(C7CC(CC8OC9CC(=O)C(=C(O9)C)O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)[18F])O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]([C@H]([C@@H]([C@@H]([13CH2]O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OCC(COCC(CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)CN,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
[C@H]1([C@@H]([C@@H](O[C@@H]([C@H]1O)O)C(F)(F)F)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C2C(=C1)C(=CN2)C[C@](C[C@@H](C(=O)O)N)(C(=O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC=C(C=C1)CC(C(=O)N)NC(=O)C(CC(=O)[O-])N.[NH4+],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
